Proteins	Gonames	Goterms	Probability
4FEZ-A	leukocyte degranulation	GO:0043299	0.0000
4FEZ-A	small molecule catabolic process	GO:0044282	0.1072
4FEZ-A	regulation of cell shape	GO:0008360	0.0311
4FEZ-A	protein-containing complex subunit organization	GO:0043933	0.0505
4FEZ-A	integrin-mediated signaling pathway	GO:0007229	0.0000
4FEZ-A	negative regulation of cellular component movement	GO:0051271	0.0000
4FEZ-A	neutrophil activation	GO:0042119	0.0000
4FEZ-A	viral entry into host cell	GO:0046718	0.0000
4FEZ-A	deoxyribonucleoside monophosphate metabolic process	GO:0009162	0.0184
4FEZ-A	cellular amino acid metabolic process	GO:0006520	0.8080
4FEZ-A	cellular component disassembly	GO:0022411	0.0022
4FEZ-A	multi-organism reproductive process	GO:0044703	0.0008
4FEZ-A	complement activation	GO:0006956	0.0000
4FEZ-A	regulation of intracellular transport	GO:0032386	0.0000
4FEZ-A	NAD biosynthetic process	GO:0009435	0.0128
4FEZ-A	multi-organism process	GO:0051704	0.0076
4FEZ-A	autophagosome assembly	GO:0000045	0.0000
4FEZ-A	blood vessel morphogenesis	GO:0048514	0.0000
4FEZ-A	hormone transport	GO:0009914	0.0000
4FEZ-A	cleavage involved in rRNA processing	GO:0000469	0.0001
4FEZ-A	actin filament depolymerization	GO:0030042	0.0000
4FEZ-A	cell cycle checkpoint	GO:0000075	0.0000
4FEZ-A	positive regulation of DNA metabolic process	GO:0051054	0.0006
4FEZ-A	regulation of ATPase activity	GO:0043462	0.0002
4FEZ-A	hexose metabolic process	GO:0019318	0.1358
4FEZ-A	regulation of leukocyte migration	GO:0002685	0.0000
4FEZ-A	sporulation resulting in formation of a cellular spore	GO:0030435	0.0036
4FEZ-A	positive regulation of cell motility	GO:2000147	0.0000
4FEZ-A	response to oxygen radical	GO:0000305	0.0025
4FEZ-A	regulation of plasma membrane bounded cell projection organization	GO:0120035	0.0000
4FEZ-A	chromatin assembly	GO:0031497	0.0000
4FEZ-A	negative regulation of immune system process	GO:0002683	0.0000
4FEZ-A	deoxyribonucleoside triphosphate metabolic process	GO:0009200	0.0210
4FEZ-A	mRNA export from nucleus	GO:0006406	0.0000
4FEZ-A	anatomical structure morphogenesis	GO:0009653	0.0393
4FEZ-A	regulation of macroautophagy	GO:0016241	0.0000
4FEZ-A	regulation of ion transmembrane transporter activity	GO:0032412	0.0000
4FEZ-A	posttranscriptional regulation of gene expression	GO:0010608	0.0052
4FEZ-A	protein-chromophore linkage	GO:0018298	0.0013
4FEZ-A	membrane assembly	GO:0071709	0.0000
4FEZ-A	cellular response to nutrient levels	GO:0031669	0.0006
4FEZ-A	pyrimidine nucleobase metabolic process	GO:0006206	0.1729
4FEZ-A	negative regulation of organelle organization	GO:0010639	0.0000
4FEZ-A	supramolecular fiber organization	GO:0097435	0.0001
4FEZ-A	secondary metabolic process	GO:0019748	0.0014
4FEZ-A	MAPK cascade	GO:0000165	0.0001
4FEZ-A	developmental growth	GO:0048589	0.0002
4FEZ-A	RNA catabolic process	GO:0006401	0.0167
4FEZ-A	Fc-gamma receptor signaling pathway	GO:0038094	0.0000
4FEZ-A	RNA phosphodiester bond hydrolysis	GO:0090501	0.0042
4FEZ-A	regulation of cellular metabolic process	GO:0031323	0.0185
4FEZ-A	response to osmotic stress	GO:0006970	0.0067
4FEZ-A	extracellular matrix organization	GO:0030198	0.0000
4FEZ-A	DNA replication	GO:0006260	0.0204
4FEZ-A	positive regulation of lipid metabolic process	GO:0045834	0.0000
4FEZ-A	response to endogenous stimulus	GO:0009719	0.0040
4FEZ-A	positive regulation of peptide secretion	GO:0002793	0.0000
4FEZ-A	positive regulation of cell communication	GO:0010647	0.0003
4FEZ-A	regulation of RNA metabolic process	GO:0051252	0.0075
4FEZ-A	response to bacterium	GO:0009617	0.0004
4FEZ-A	positive regulation of cellular amide metabolic process	GO:0034250	0.0001
4FEZ-A	methane metabolic process	GO:0015947	0.0013
4FEZ-A	regulation of apoptotic process	GO:0042981	0.0001
4FEZ-A	positive regulation of peptidyl-tyrosine phosphorylation	GO:0050731	0.0000
4FEZ-A	nuclear chromosome segregation	GO:0098813	0.0000
4FEZ-A	superoxide metabolic process	GO:0006801	0.0022
4FEZ-A	response to host defenses	GO:0052200	0.0007
4FEZ-A	regulation of leukocyte mediated immunity	GO:0002703	0.0000
4FEZ-A	regulation of cytokinesis	GO:0032465	0.0001
4FEZ-A	proteolysis involved in cellular protein catabolic process	GO:0051603	0.0285
4FEZ-A	visual perception	GO:0007601	0.0000
4FEZ-A	negative regulation of transcription, DNA-templated	GO:0045892	0.0010
4FEZ-A	protein alkylation	GO:0008213	0.0011
4FEZ-A	ncRNA 5'-end processing	GO:0034471	0.0004
4FEZ-A	cellular response to starvation	GO:0009267	0.0006
4FEZ-A	response to radiation	GO:0009314	0.0054
4FEZ-A	leukocyte differentiation	GO:0002521	0.0000
4FEZ-A	fatty acid derivative transport	GO:1901571	0.0000
4FEZ-A	tRNA metabolic process	GO:0006399	0.2546
4FEZ-A	response to ketone	GO:1901654	0.0001
4FEZ-A	cellular response to lipid	GO:0071396	0.0001
4FEZ-A	nucleoside metabolic process	GO:0009116	0.2873
4FEZ-A	neurogenesis	GO:0022008	0.0000
4FEZ-A	regulation of cell cycle G1/S phase transition	GO:1902806	0.0000
4FEZ-A	response to lipid	GO:0033993	0.0006
4FEZ-A	response to monosaccharide	GO:0034284	0.0005
4FEZ-A	response to type I interferon	GO:0034340	0.0000
4FEZ-A	canonical Wnt signaling pathway	GO:0060070	0.0000
4FEZ-A	cell morphogenesis involved in differentiation	GO:0000904	0.0001
4FEZ-A	ribonucleoside diphosphate metabolic process	GO:0009185	0.2760
4FEZ-A	response to purine-containing compound	GO:0014074	0.0000
4FEZ-A	response to nutrient	GO:0007584	0.0037
4FEZ-A	tricarboxylic acid cycle	GO:0006099	0.2238
4FEZ-A	cell junction assembly	GO:0034329	0.0000
4FEZ-A	detoxification	GO:0098754	0.0031
4FEZ-A	protein sumoylation	GO:0016925	0.0000
4FEZ-A	internal peptidyl-lysine acetylation	GO:0018393	0.0002
4FEZ-A	carboxylic acid biosynthetic process	GO:0046394	0.6713
4FEZ-A	response to drug	GO:0042493	0.0017
4FEZ-A	glycoprotein metabolic process	GO:0009100	0.0010
4FEZ-A	alanine metabolic process	GO:0006522	0.0132
4FEZ-A	negative regulation of signal transduction	GO:0009968	0.0001
4FEZ-A	ribonucleoside biosynthetic process	GO:0042455	0.3101
4FEZ-A	regulation of hormone levels	GO:0010817	0.0016
4FEZ-A	myeloid leukocyte differentiation	GO:0002573	0.0000
4FEZ-A	ether metabolic process	GO:0018904	0.0016
4FEZ-A	metallo-sulfur cluster assembly	GO:0031163	0.0057
4FEZ-A	cellular developmental process	GO:0048869	0.0116
4FEZ-A	mitochondrial gene expression	GO:0140053	0.0002
4FEZ-A	lysine metabolic process	GO:0006553	0.2193
4FEZ-A	peptidyl-tyrosine dephosphorylation	GO:0035335	0.0001
4FEZ-A	establishment of protein localization to organelle	GO:0072594	0.0016
4FEZ-A	regulation of cell adhesion	GO:0030155	0.0000
4FEZ-A	ion transmembrane transport	GO:0034220	0.0304
4FEZ-A	pyridine nucleotide biosynthetic process	GO:0019363	0.0174
4FEZ-A	regulation of protein depolymerization	GO:1901879	0.0000
4FEZ-A	modulation of chemical synaptic transmission	GO:0050804	0.0000
4FEZ-A	nucleoside diphosphate phosphorylation	GO:0006165	0.4114
4FEZ-A	carboxylic acid catabolic process	GO:0046395	0.1148
4FEZ-A	generation of precursor metabolites and energy	GO:0006091	0.2261
4FEZ-A	neuron projection development	GO:0031175	0.0000
4FEZ-A	cell-cell adhesion	GO:0098609	0.0000
4FEZ-A	regulation of endocytosis	GO:0030100	0.0000
4FEZ-A	cellular aldehyde metabolic process	GO:0006081	0.2033
4FEZ-A	xylan catabolic process	GO:0045493	0.0001
4FEZ-A	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000462	0.0002
4FEZ-A	pyrimidine-containing compound metabolic process	GO:0072527	0.2249
4FEZ-A	I-kappaB kinase/NF-kappaB signaling	GO:0007249	0.0000
4FEZ-A	plasma membrane bounded cell projection organization	GO:0120036	0.0000
4FEZ-A	deoxyribonucleoside monophosphate biosynthetic process	GO:0009157	0.0264
4FEZ-A	chemotaxis	GO:0006935	0.0010
4FEZ-A	cytokine production	GO:0001816	0.0000
4FEZ-A	response to oxygen-containing compound	GO:1901700	0.0198
4FEZ-A	leukocyte proliferation	GO:0070661	0.0000
4FEZ-A	ncRNA metabolic process	GO:0034660	0.1644
4FEZ-A	nucleic acid-templated transcription	GO:0097659	0.0094
4FEZ-A	response to host	GO:0075136	0.0005
4FEZ-A	vesicle-mediated transport in synapse	GO:0099003	0.0000
4FEZ-A	immunoglobulin mediated immune response	GO:0016064	0.0000
4FEZ-A	riboflavin biosynthetic process	GO:0009231	0.0081
4FEZ-A	cellular biogenic amine metabolic process	GO:0006576	0.0986
4FEZ-A	regulation of response to biotic stimulus	GO:0002831	0.0002
4FEZ-A	cytoskeleton-dependent cytokinesis	GO:0061640	0.0000
4FEZ-A	regulation of neuron death	GO:1901214	0.0000
4FEZ-A	immune response-regulating signaling pathway	GO:0002764	0.0001
4FEZ-A	peptidyl-serine modification	GO:0018209	0.0002
4FEZ-A	nucleoside triphosphate metabolic process	GO:0009141	0.2952
4FEZ-A	guanosine-containing compound biosynthetic process	GO:1901070	0.2082
4FEZ-A	trans-synaptic signaling	GO:0099537	0.0000
4FEZ-A	microtubule polymerization or depolymerization	GO:0031109	0.0000
4FEZ-A	regulation of MAPK cascade	GO:0043408	0.0000
4FEZ-A	negative regulation of locomotion	GO:0040013	0.0000
4FEZ-A	response to inorganic substance	GO:0010035	0.0092
4FEZ-A	chromatin organization involved in regulation of transcription	GO:0034401	0.0000
4FEZ-A	response to nitrogen compound	GO:1901698	0.0079
4FEZ-A	cell aging	GO:0007569	0.0000
4FEZ-A	protein-containing complex disassembly	GO:0032984	0.0014
4FEZ-A	regulation of protein phosphorylation	GO:0001932	0.0004
4FEZ-A	sensory organ development	GO:0007423	0.0000
4FEZ-A	chromosome separation	GO:0051304	0.0000
4FEZ-A	positive regulation of cellular protein metabolic process	GO:0032270	0.0009
4FEZ-A	flavin-containing compound biosynthetic process	GO:0042727	0.0076
4FEZ-A	regulation of generation of precursor metabolites and energy	GO:0043467	0.0016
4FEZ-A	cellular amide catabolic process	GO:0043605	0.0024
4FEZ-A	vesicle-mediated transport	GO:0016192	0.0000
4FEZ-A	protein targeting to membrane	GO:0006612	0.0008
4FEZ-A	regulation of secretion by cell	GO:1903530	0.0000
4FEZ-A	diaminopimelate metabolic process	GO:0046451	0.1690
4FEZ-A	forebrain development	GO:0030900	0.0000
4FEZ-A	cellulose metabolic process	GO:0030243	0.0004
4FEZ-A	tetrahydrofolate interconversion	GO:0035999	0.1396
4FEZ-A	RNA phosphodiester bond hydrolysis, endonucleolytic	GO:0090502	0.0023
4FEZ-A	thiamine-containing compound biosynthetic process	GO:0042724	0.0220
4FEZ-A	cellular amino acid catabolic process	GO:0009063	0.1089
4FEZ-A	response to hormone	GO:0009725	0.0012
4FEZ-A	renal system development	GO:0072001	0.0000
4FEZ-A	carbohydrate derivative biosynthetic process	GO:1901137	0.5207
4FEZ-A	actin filament organization	GO:0007015	0.0002
4FEZ-A	chemical homeostasis	GO:0048878	0.0021
4FEZ-A	aromatic amino acid family metabolic process	GO:0009072	0.1894
4FEZ-A	RNA methylation	GO:0001510	0.0102
4FEZ-A	spindle organization	GO:0007051	0.0000
4FEZ-A	nucleoside phosphate metabolic process	GO:0006753	0.7023
4FEZ-A	cellular protein modification process	GO:0006464	0.0443
4FEZ-A	inorganic anion transport	GO:0015698	0.0023
4FEZ-A	nitrogen compound transport	GO:0071705	0.0041
4FEZ-A	regulation of morphogenesis of an epithelium	GO:1905330	0.0000
4FEZ-A	cellular response to heat	GO:0034605	0.0010
4FEZ-A	translational termination	GO:0006415	0.0010
4FEZ-A	positive regulation of catalytic activity	GO:0043085	0.0012
4FEZ-A	regulation of actin filament polymerization	GO:0030833	0.0000
4FEZ-A	peptidyl-amino acid modification	GO:0018193	0.0235
4FEZ-A	meiotic cell cycle process	GO:1903046	0.0001
4FEZ-A	mRNA metabolic process	GO:0016071	0.0013
4FEZ-A	nucleic acid transport	GO:0050657	0.0001
4FEZ-A	positive regulation of growth	GO:0045927	0.0000
4FEZ-A	protein transmembrane transport	GO:0071806	0.0004
4FEZ-A	Rho protein signal transduction	GO:0007266	0.0000
4FEZ-A	protein heterooligomerization	GO:0051291	0.0000
4FEZ-A	glycosaminoglycan metabolic process	GO:0030203	0.0323
4FEZ-A	methylation	GO:0032259	0.0147
4FEZ-A	peptidoglycan metabolic process	GO:0000270	0.0244
4FEZ-A	cellular response to carbohydrate stimulus	GO:0071322	0.0001
4FEZ-A	organelle localization	GO:0051640	0.0000
4FEZ-A	sensory perception of light stimulus	GO:0050953	0.0000
4FEZ-A	glutathione metabolic process	GO:0006749	0.0022
4FEZ-A	pyrimidine ribonucleoside monophosphate metabolic process	GO:0009173	0.1249
4FEZ-A	positive regulation of biosynthetic process	GO:0009891	0.0022
4FEZ-A	proteasomal protein catabolic process	GO:0010498	0.0018
4FEZ-A	regulation of lymphocyte activation	GO:0051249	0.0000
4FEZ-A	cation transport	GO:0006812	0.0189
4FEZ-A	sequestering of calcium ion	GO:0051208	0.0000
4FEZ-A	photosynthesis	GO:0015979	0.0051
4FEZ-A	signal transduction by p53 class mediator	GO:0072331	0.0000
4FEZ-A	cellular response to DNA damage stimulus	GO:0006974	0.0502
4FEZ-A	tRNA wobble base modification	GO:0002097	0.0118
4FEZ-A	lymphocyte mediated immunity	GO:0002449	0.0000
4FEZ-A	histidine metabolic process	GO:0006547	0.0866
4FEZ-A	positive regulation of calcium ion transport	GO:0051928	0.0000
4FEZ-A	cell septum assembly	GO:0090529	0.0027
4FEZ-A	purine nucleotide biosynthetic process	GO:0006164	0.5582
4FEZ-A	regulation of calcium ion transmembrane transporter activity	GO:1901019	0.0000
4FEZ-A	glucan metabolic process	GO:0044042	0.0032
4FEZ-A	mRNA splicing, via spliceosome	GO:0000398	0.0000
4FEZ-A	muscle cell proliferation	GO:0033002	0.0000
4FEZ-A	regulation of kinase activity	GO:0043549	0.0002
4FEZ-A	negative regulation of binding	GO:0051100	0.0000
4FEZ-A	regulation of microtubule-based process	GO:0032886	0.0000
4FEZ-A	Notch signaling pathway	GO:0007219	0.0000
4FEZ-A	gluconeogenesis	GO:0006094	0.0536
4FEZ-A	positive regulation of biological process	GO:0048518	0.0090
4FEZ-A	neutrophil degranulation	GO:0043312	0.0000
4FEZ-A	platelet activation	GO:0030168	0.0000
4FEZ-A	indole-containing compound biosynthetic process	GO:0042435	0.0463
4FEZ-A	DNA methylation or demethylation	GO:0044728	0.0005
4FEZ-A	negative regulation of cell cycle	GO:0045786	0.0000
4FEZ-A	protein tetramerization	GO:0051262	0.0238
4FEZ-A	fatty acid catabolic process	GO:0009062	0.0198
4FEZ-A	epithelium migration	GO:0090132	0.0000
4FEZ-A	cellular polysaccharide metabolic process	GO:0044264	0.0491
4FEZ-A	positive regulation of NF-kappaB transcription factor activity	GO:0051092	0.0000
4FEZ-A	digestion	GO:0007586	0.0000
4FEZ-A	cell motility	GO:0048870	0.0019
4FEZ-A	organophosphate catabolic process	GO:0046434	0.0252
4FEZ-A	drug metabolic process	GO:0017144	0.0001
4FEZ-A	learning or memory	GO:0007611	0.0000
4FEZ-A	negative regulation of cellular catabolic process	GO:0031330	0.0001
4FEZ-A	cellular response to chemical stimulus	GO:0070887	0.0136
4FEZ-A	alcohol biosynthetic process	GO:0046165	0.0038
4FEZ-A	reactive oxygen species biosynthetic process	GO:1903409	0.0000
4FEZ-A	guanosine-containing compound metabolic process	GO:1901068	0.1278
4FEZ-A	nucleobase-containing small molecule metabolic process	GO:0055086	0.6627
4FEZ-A	DNA-templated transcription, elongation	GO:0006354	0.0000
4FEZ-A	glycoside metabolic process	GO:0016137	0.0008
4FEZ-A	modulation by symbiont of host cellular process	GO:0044068	0.0000
4FEZ-A	dicarboxylic acid metabolic process	GO:0043648	0.2086
4FEZ-A	benzene-containing compound metabolic process	GO:0042537	0.0042
4FEZ-A	regulation of ERK1 and ERK2 cascade	GO:0070372	0.0000
4FEZ-A	positive regulation of neurogenesis	GO:0050769	0.0000
4FEZ-A	regulation of protein polymerization	GO:0032271	0.0000
4FEZ-A	tissue development	GO:0009888	0.0005
4FEZ-A	negative regulation of macromolecule biosynthetic process	GO:0010558	0.0025
4FEZ-A	ATP metabolic process	GO:0046034	0.2545
4FEZ-A	regulation of cell morphogenesis	GO:0022604	0.0305
4FEZ-A	RNA metabolic process	GO:0016070	0.1815
4FEZ-A	protein acetylation	GO:0006473	0.0009
4FEZ-A	cellular lipid catabolic process	GO:0044242	0.0175
4FEZ-A	lipid catabolic process	GO:0016042	0.0090
4FEZ-A	membrane docking	GO:0022406	0.0000
4FEZ-A	regulation of ATP metabolic process	GO:1903578	0.0013
4FEZ-A	one-carbon metabolic process	GO:0006730	0.2033
4FEZ-A	pyrimidine nucleoside monophosphate biosynthetic process	GO:0009130	0.2822
4FEZ-A	purine-containing compound salvage	GO:0043101	0.0847
4FEZ-A	lipid biosynthetic process	GO:0008610	0.2537
4FEZ-A	positive regulation of protein phosphorylation	GO:0001934	0.0000
4FEZ-A	post-transcriptional gene silencing by RNA	GO:0035194	0.0000
4FEZ-A	cell wall macromolecule catabolic process	GO:0016998	0.0005
4FEZ-A	adaptive thermogenesis	GO:1990845	0.0000
4FEZ-A	folic acid-containing compound metabolic process	GO:0006760	0.0341
4FEZ-A	cellular response to organic substance	GO:0071310	0.0029
4FEZ-A	ATP biosynthetic process	GO:0006754	0.0190
4FEZ-A	vesicle localization	GO:0051648	0.0000
4FEZ-A	purine nucleotide salvage	GO:0032261	0.0353
4FEZ-A	protein refolding	GO:0042026	0.0038
4FEZ-A	peptide hormone secretion	GO:0030072	0.0000
4FEZ-A	actin polymerization or depolymerization	GO:0008154	0.0001
4FEZ-A	detection of abiotic stimulus	GO:0009582	0.0005
4FEZ-A	phosphorus metabolic process	GO:0006793	0.7204
4FEZ-A	regulation of metabolic process	GO:0019222	0.0233
4FEZ-A	negative regulation of protein modification process	GO:0031400	0.0000
4FEZ-A	GTP biosynthetic process	GO:0006183	0.0433
4FEZ-A	nucleotide-sugar metabolic process	GO:0009225	0.0947
4FEZ-A	fatty acid beta-oxidation	GO:0006635	0.0139
4FEZ-A	regulation of protein transport	GO:0051223	0.0000
4FEZ-A	peptidyl-lysine methylation	GO:0018022	0.0000
4FEZ-A	brain development	GO:0007420	0.0000
4FEZ-A	porphyrin-containing compound biosynthetic process	GO:0006779	0.0389
4FEZ-A	positive regulation of intracellular signal transduction	GO:1902533	0.0001
4FEZ-A	establishment of protein localization to membrane	GO:0090150	0.0004
4FEZ-A	response to peptide	GO:1901652	0.0003
4FEZ-A	protein dephosphorylation	GO:0006470	0.0006
4FEZ-A	modulation of process of other organism	GO:0035821	0.0002
4FEZ-A	lipid oxidation	GO:0034440	0.0165
4FEZ-A	actin filament polymerization	GO:0030041	0.0000
4FEZ-A	cytolysis	GO:0019835	0.0000
4FEZ-A	translation	GO:0006412	0.2472
4FEZ-A	cellular response to interleukin-1	GO:0071347	0.0000
4FEZ-A	cellular response to peptide	GO:1901653	0.0001
4FEZ-A	blood coagulation	GO:0007596	0.0000
4FEZ-A	response to antibiotic	GO:0046677	0.0057
4FEZ-A	granulocyte chemotaxis	GO:0071621	0.0000
4FEZ-A	leukocyte activation involved in immune response	GO:0002366	0.0000
4FEZ-A	chorismate metabolic process	GO:0046417	0.0343
4FEZ-A	calcium ion transmembrane transport	GO:0070588	0.0000
4FEZ-A	neuron projection morphogenesis	GO:0048812	0.0000
4FEZ-A	response to biotic stimulus	GO:0009607	0.0035
4FEZ-A	hepaticobiliary system development	GO:0061008	0.0000
4FEZ-A	reactive nitrogen species metabolic process	GO:2001057	0.0005
4FEZ-A	regulation of response to stress	GO:0080134	0.0005
4FEZ-A	regulation of catalytic activity	GO:0050790	0.0038
4FEZ-A	protein localization to extracellular region	GO:0071692	0.0002
4FEZ-A	apoptotic signaling pathway	GO:0097190	0.0000
4FEZ-A	positive regulation of response to stimulus	GO:0048584	0.0008
4FEZ-A	rRNA metabolic process	GO:0016072	0.0090
4FEZ-A	iron ion transport	GO:0006826	0.0010
4FEZ-A	regulation of trans-synaptic signaling	GO:0099177	0.0000
4FEZ-A	sulfur compound metabolic process	GO:0006790	0.2973
4FEZ-A	L-methionine salvage	GO:0071267	0.0151
4FEZ-A	carbohydrate catabolic process	GO:0016052	0.1222
4FEZ-A	cell migration	GO:0016477	0.0003
4FEZ-A	behavior	GO:0007610	0.0022
4FEZ-A	actin cytoskeleton organization	GO:0030036	0.0001
4FEZ-A	nucleotide metabolic process	GO:0009117	0.6748
4FEZ-A	ribonucleoside triphosphate metabolic process	GO:0009199	0.1716
4FEZ-A	positive regulation of ERK1 and ERK2 cascade	GO:0070374	0.0000
4FEZ-A	histone lysine methylation	GO:0034968	0.0000
4FEZ-A	regulation of phosphatase activity	GO:0010921	0.0000
4FEZ-A	DNA recombination	GO:0006310	0.0051
4FEZ-A	positive regulation of secretion	GO:0051047	0.0000
4FEZ-A	acetyl-CoA metabolic process	GO:0006084	0.0079
4FEZ-A	heart contraction	GO:0060047	0.0000
4FEZ-A	TOR signaling	GO:0031929	0.0000
4FEZ-A	protein localization to membrane	GO:0072657	0.0004
4FEZ-A	regulation of sequestering of calcium ion	GO:0051282	0.0000
4FEZ-A	photosynthesis, light harvesting	GO:0009765	0.0000
4FEZ-A	cellular response to reactive oxygen species	GO:0034614	0.0037
4FEZ-A	response to heat	GO:0009408	0.0142
4FEZ-A	negative regulation of phosphate metabolic process	GO:0045936	0.0004
4FEZ-A	neuron development	GO:0048666	0.0000
4FEZ-A	transcription by RNA polymerase III	GO:0006383	0.0000
4FEZ-A	tube morphogenesis	GO:0035239	0.0000
4FEZ-A	purine-containing compound metabolic process	GO:0072521	0.6576
4FEZ-A	cellular ketone metabolic process	GO:0042180	0.0089
4FEZ-A	zymogen activation	GO:0031638	0.0000
4FEZ-A	tissue morphogenesis	GO:0048729	0.0001
4FEZ-A	spermatogenesis	GO:0007283	0.0000
4FEZ-A	ATP synthesis coupled proton transport	GO:0015986	0.0124
4FEZ-A	regulation of response to external stimulus	GO:0032101	0.0003
4FEZ-A	purine nucleoside biosynthetic process	GO:0042451	0.2512
4FEZ-A	hormone metabolic process	GO:0042445	0.0016
4FEZ-A	cell adhesion	GO:0007155	0.0002
4FEZ-A	regulation of proteolysis	GO:0030162	0.0001
4FEZ-A	regulation of protein modification by small protein conjugation or removal	GO:1903320	0.0000
4FEZ-A	response to endoplasmic reticulum stress	GO:0034976	0.0002
4FEZ-A	regulation of developmental growth	GO:0048638	0.0000
4FEZ-A	thiamine biosynthetic process	GO:0009228	0.0181
4FEZ-A	water-soluble vitamin metabolic process	GO:0006767	0.0787
4FEZ-A	regulation of receptor signaling pathway via STAT	GO:1904892	0.0000
4FEZ-A	ribonucleoside triphosphate biosynthetic process	GO:0009201	0.1763
4FEZ-A	anaerobic respiration	GO:0009061	0.0032
4FEZ-A	SRP-dependent cotranslational protein targeting to membrane	GO:0006614	0.0009
4FEZ-A	thioester biosynthetic process	GO:0035384	0.0534
4FEZ-A	negative regulation of apoptotic signaling pathway	GO:2001234	0.0000
4FEZ-A	cellular oxidant detoxification	GO:0098869	0.0024
4FEZ-A	cytoskeleton organization	GO:0007010	0.0013
4FEZ-A	positive regulation of transcription by RNA polymerase II	GO:0045944	0.0000
4FEZ-A	DNA packaging	GO:0006323	0.0005
4FEZ-A	response to molecule of bacterial origin	GO:0002237	0.0000
